processid;state;user;tasktype;taskid;action;pmmid;region;priority
100063;COMPLETED;Completed;END_EVENT;201633;COMPLETED;646;JOHANNESBURG;2
100079;COMPLETED;Completed;END_EVENT;201777;COMPLETED;620;PORT ELIZABETH;1
110199;COMPLETED;Completed;END_EVENT;201776;COMPLETED;104;PORT ELIZABETH;1
110282;COMPLETED;Completed;END_EVENT;201779;COMPLETED;1295;CAPE TOWN;1
